SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HiPr,LOW_PRICE,CLOSE_PRICE,AvgPr,Vol,Val_CR,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CAMS, EQ,4/26/24,3253.4,3240,3277,3190,3206.5,3237.79,119989,38.85,16271,55686,46.41
CAMS, EQ,4/25/24,3230.1,3238,3265,3183,3253.4,3228.91,214115,69.1358,23436,84387,39.41
CAMS, EQ,4/24/24,3258.65,3276,3340,3210,3230.1,3274.16,316982,103.785,32649,102807,32.43
CAMS, EQ,4/23/24,3238.55,3254.45,3285.4,3230.4,3258.65,3261.47,243631,79.4596,23013,114170,46.86
CAMS, EQ,4/22/24,3151.55,3215.8,3249.2,3176.15,3238.55,3225.33,336986,108.689,35588,135301,40.15
CAMS, EQ,4/19/24,3201.7,3165,3195,3110.1,3151.55,3159.99,293276,92.6748,30070,120791,41.19
CAMS, EQ,4/18/24,3113.8,3116.05,3299.95,3113,3201.7,3245.68,1430549,464.3102,100485,477713,33.39
CAMS, EQ,4/16/24,3028.7,3028.7,3160.35,3010.1,3113.8,3119.17,411646,128.3995,35938,133299,32.38
CAMS, EQ,4/15/24,3115.45,3015,3073.6,2985.55,3028.7,3029.78,300701,91.1057,29402,99162,32.98
CAMS, EQ,4/12/24,3050.15,3142,3223,3093,3115.45,3172.01,1189532,377.3208,82734,271754,22.85
CAMS, EQ,4/10/24,2997.4,2999.8,3070,2975.35,3050.15,3005.9,408503,122.7919,28378,225128,55.11
CAMS, EQ,4/9/24,3069.4,3084,3144.2,2986,2997.4,3058.12,405596,124.0361,38950,239021,58.93
CAMS, EQ,4/8/24,3146.75,3150,3174.95,3065,3069.4,3117.07,218457,68.0945,22786,128087,58.63
CAMS, EQ,4/5/24,3140.35,3140,3175,3120,3146.75,3155.7,208287,65.7292,21611,86717,41.63
CAMS, EQ,4/4/24,3149,3149.35,3184,3117,3140.35,3150.39,326085,102.7294,34694,114846,35.22
CAMS, EQ,4/3/24,3186.2,3180,3180,3131.25,3149,3153.52,316439,99.7896,35758,134523,42.51
CAMS, EQ,4/2/24,2992.2,3020,3225,2971.8,3186.2,3144.3,1342861,422.2362,109334,330136,24.58
,,,,,,,4162.9235,,,,,,
